id,timestamp,sepal_length,sepal_width,petal_length,petal_width,target
35486,2024-09-25 01:18:35.723964,6.1,2.8,4.0,1.3,1
35485,2024-09-25 01:18:34.718541,4.9,3.6,1.4,0.1,0
35484,2024-09-25 01:18:33.709206,6.1,2.9,4.7,1.4,1
35483,2024-09-25 01:18:32.700969,4.6,3.2,1.4,0.2,0
35482,2024-09-25 01:18:31.694152,4.9,3.0,1.4,0.2,0
35481,2024-09-25 01:18:30.683298,6.1,2.9,4.7,1.4,1
35480,2024-09-25 01:18:29.672152,4.9,2.5,4.5,1.7,2
35479,2024-09-25 01:18:28.664275,4.9,2.4,3.3,1.0,1
35478,2024-09-25 01:18:27.654137,6.1,2.8,4.0,1.3,1
35477,2024-09-25 01:18:26.642250,5.4,3.9,1.3,0.4,0
35476,2024-09-25 01:18:25.636828,6.1,2.6,5.6,1.4,2
35475,2024-09-25 01:18:24.630325,7.2,3.2,6.0,1.8,2
35474,2024-09-25 01:18:23.618082,5.9,3.0,5.1,1.8,2
35473,2024-09-25 01:18:22.609607,5.6,3.0,4.5,1.5,1
35472,2024-09-25 01:18:21.599099,6.3,2.7,4.9,1.8,2
35471,2024-09-25 01:18:20.591091,6.3,3.3,4.7,1.6,1
35470,2024-09-25 01:18:19.580019,6.5,3.0,5.5,1.8,2
35469,2024-09-25 01:18:18.568582,6.7,3.1,4.7,1.5,1
35468,2024-09-25 01:18:17.557028,6.1,2.6,5.6,1.4,2
35467,2024-09-25 01:18:16.545838,5.0,3.4,1.6,0.4,0
35466,2024-09-25 01:18:15.539541,6.2,3.4,5.4,2.3,2
35465,2024-09-25 01:18:14.529546,6.1,2.9,4.7,1.4,1
35464,2024-09-25 01:18:13.518689,5.1,3.8,1.5,0.3,0
35463,2024-09-25 01:18:12.506885,6.0,2.2,5.0,1.5,2
35462,2024-09-25 01:18:11.495301,5.0,3.4,1.6,0.4,0
35461,2024-09-25 01:18:10.487823,6.3,2.3,4.4,1.3,1
35460,2024-09-25 01:18:09.478227,6.4,2.7,5.3,1.9,2
35459,2024-09-25 01:18:08.467333,7.3,2.9,6.3,1.8,2
35458,2024-09-25 01:18:07.459249,6.9,3.1,5.1,2.3,2
35457,2024-09-25 01:18:06.449076,5.8,2.6,4.0,1.2,1
35456,2024-09-25 01:18:05.442176,7.4,2.8,6.1,1.9,2
35455,2024-09-25 01:18:04.435257,5.0,2.0,3.5,1.0,1
35454,2024-09-25 01:18:03.429453,4.4,3.2,1.3,0.2,0
35453,2024-09-25 01:18:02.417318,6.2,2.9,4.3,1.3,1
35452,2024-09-25 01:18:01.407354,5.0,3.0,1.6,0.2,0
35451,2024-09-25 01:18:00.395616,4.6,3.6,1.0,0.2,0
35450,2024-09-25 01:17:59.383846,5.4,3.0,4.5,1.5,1
35449,2024-09-25 01:17:58.375563,6.1,2.8,4.0,1.3,1
35448,2024-09-25 01:17:57.365567,4.4,3.2,1.3,0.2,0
35447,2024-09-25 01:17:56.358228,6.7,3.1,4.4,1.4,1
35446,2024-09-25 01:17:55.350408,4.4,3.2,1.3,0.2,0
35445,2024-09-25 01:17:54.342558,5.1,3.4,1.5,0.2,0
35444,2024-09-25 01:17:53.334396,5.0,3.3,1.4,0.2,0
35443,2024-09-25 01:17:52.327756,6.4,2.9,4.3,1.3,1
35442,2024-09-25 01:17:51.319537,4.4,3.2,1.3,0.2,0
